2026-04-21T14:47:48.649193Z  INFO matrix_sdk_ffi::platform: Logging has been set up env_filter="panic=error,hyper=warn,matrix_sdk_ffi=info,matrix_sdk=info,matrix_sdk::client=trace,matrix_sdk_crypto=debug,matrix_sdk_crypto::olm::account=trace,matrix_sdk::oidc=trace,matrix_sdk::http_client=debug,matrix_sdk::sliding_sync=info,matrix_sdk_base::sliding_sync=info,matrix_sdk_ui::timeline=info,matrix_sdk::send_queue=info,matrix_sdk::event_cache=info,matrix_sdk::latest_events=info,matrix_sdk_base::event_cache=info,matrix_sdk_sqlite::event_cache_store=info,matrix_sdk_common::cross_process_lock=warn,matrix_sdk_common::deserialized_responses=info,matrix_sdk_base::store::ambiguity_map=warn,matrix_sdk_ui::notification_client=info,matrix_sdk_base::response_processors=debug,elementx=info" | bindings/matrix-sdk-ffi/src/platform/mod.rs:602
2026-04-21T14:47:48.651839Z  INFO elementx: SalemX 26.03.4 (1) | AppCoordinator.swift:91 | spans: root
2026-04-21T14:47:48.716052Z  INFO elementx: NavigationRootCoordinator(SalemX.SplashScreenCoordinator Set root: SalemX.SplashScreenCoordinator | NavigationRootCoordinator.swift:153 | spans: root
2026-04-21T14:47:48.754746Z ERROR elementx: Biometrics error: Error Domain=com.apple.LocalAuthentication Code=-7 "No identities are enrolled." UserInfo={NSDebugDescription=No identities are enrolled., NSLocalizedDescription=Биометрическая регистрация не выполнялась.} | AppLockService.swift:172 | spans: root
2026-04-21T14:47:48.944475Z  INFO elementx: Sentry configured (enabled: false) | AppCoordinator.swift:1026 | spans: root
2026-04-21T14:47:48.963039Z  INFO elementx: App setting 'enableNotifications' is 'true' | NotificationManager.swift:51 | spans: root
2026-04-21T14:47:48.972167Z  INFO elementx: [CALL-END-TRACE][CANARY-APP-LAUNCH] local_trace_id=app_launch room_id=n/a widget_id=n/a callkit_id=n/a | AppCoordinator.swift:162 | spans: root
2026-04-21T14:47:48.976889Z  INFO elementx: Register background app refresh with result: true | AppCoordinator.swift:1205 | spans: root
2026-04-21T14:47:49.426795Z  INFO elementx: Network reachability changed to reachable | NetworkMonitor.swift:30 | spans: root
2026-04-21T14:47:49.451640Z  INFO elementx: Transitioning from `initial` to `restoringSession` with event `startWithExistingSession` | AppCoordinatorStateMachine.swift:93 | spans: root
2026-04-21T14:47:49.463347Z  INFO elementx: Application did become active | AppCoordinator.swift:1178 | spans: root
2026-04-21T14:47:49.472186Z  INFO elementx: No global proxy configured. | URL.swift:113 | spans: root > Global proxy
spawning a multithreaded tokio runtime
2026-04-21T14:47:49.492541Z DEBUG matrix_sdk::client::builder: Starting to build the Client | crates/matrix-sdk/src/client/builder/mod.rs:533 | spans: root > build
2026-04-21T14:47:50.138588Z  INFO matrix_sdk::client::builder: selected sliding sync version version=None | crates/matrix-sdk/src/client/builder/mod.rs:585 | spans: root > build{homeserver=HomeserverUrl("https://matrix.mertis.kz/")}
2026-04-21T14:47:50.145465Z DEBUG matrix_sdk::client::thread_subscriptions: Thread subscriptions catchup not enabled, not starting the catchup task | crates/matrix-sdk/src/client/thread_subscriptions.rs:161
2026-04-21T14:47:50.145499Z DEBUG matrix_sdk::client::builder: Done building the Client | crates/matrix-sdk/src/client/builder/mod.rs:637 | spans: root > build{homeserver=HomeserverUrl("https://matrix.mertis.kz/")}
2026-04-21T14:47:50.178160Z DEBUG matrix_sdk_crypto::machine: Restored an Olm account | crates/matrix-sdk-crypto/src/machine/mod.rs:330 | spans: root > restore_session_with > with_store{user_id="@aktau:mertis.kz" device_id="pHHotPZIkM" ed25519_key=M0mhG6UokHUP46hSMjDWKG61kmpw/2xLe+La75gin+s curve25519_key=pFaf/unMw0v17TGquqcrfbPxp7v3fGDpgJr8UDhiIXk}
2026-04-21T14:47:50.179437Z DEBUG matrix_sdk_crypto::machine: Creating an empty cross signing identity stub | crates/matrix-sdk-crypto/src/machine/mod.rs:378 | spans: root > restore_session_with > with_store{user_id="@aktau:mertis.kz" device_id="pHHotPZIkM" ed25519_key=M0mhG6UokHUP46hSMjDWKG61kmpw/2xLe+La75gin+s curve25519_key=pFaf/unMw0v17TGquqcrfbPxp7v3fGDpgJr8UDhiIXk}
2026-04-21T14:47:50.185459Z  INFO elementx: Set up session for user @aktau:mertis.kz at: Data: /Users/aibattt/Library/Developer/CoreSimulator/Devices/183D9DAD-0CB6-49DE-ABFD-53BFA7B724CB/data/Containers/Shared/AppGroup/71965D2B-D443-4BFB-BFF2-C3FD0CFFF5BA/Library/Application Support/kz.salemx.msg/Sessions/38488D2C-5FE6-4066-8184-6C020A969615 Caches: /Users/aibattt/Library/Developer/CoreSimulator/Devices/183D9DAD-0CB6-49DE-ABFD-53BFA7B724CB/data/Containers/Shared/AppGroup/71965D2B-D443-4BFB-BFF2-C3FD0CFFF5BA/Library/Caches/kz.salemx.msg/Sessions/38488D2C-5FE6-4066-8184-6C020A969615 | UserSessionStore.swift:145 | spans: root
2026-04-21T14:47:50.196259Z  INFO matrix_sdk::encryption::backups: Setting up secret listeners and trying to resume backups | crates/matrix-sdk/src/encryption/backups/mod.rs:752
2026-04-21T14:47:50.197432Z  INFO matrix_sdk::encryption::recovery: Setting up account data listeners and trying to setup recovery | crates/matrix-sdk/src/encryption/recovery/mod.rs:610
2026-04-21T14:47:50.198556Z  INFO elementx: Checking if backup exists on the server | SecureBackupController.swift:196 | spans: root
2026-04-21T14:47:50.203560Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > send{request_id="REQ-1" method=GET uri="https://matrix.mertis.kz/_matrix/client/v3/room_keys/version"}
2026-04-21T14:47:50.203758Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: send{request_id="REQ-0" method=GET uri="https://matrix.mertis.kz/_matrix/client/v3/user/@aktau:mertis.kz/account_data/m.secret_storage.default_key"}
2026-04-21T14:47:50.209049Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: send{request_id="REQ-2" method=GET uri="https://matrix.mertis.kz/_matrix/client/v3/user/@aktau:mertis.kz/account_data/m.secret_storage.default_key"}
2026-04-21T14:47:50.209815Z  INFO elementx: Recovery state changed to: unknown, setting local state to unknown | SecureBackupController.swift:80 | spans: root
2026-04-21T14:47:50.209958Z  INFO elementx: Key backup state changed to: unknown, setting local state to unknown | SecureBackupController.swift:59 | spans: root
2026-04-21T14:47:50.210488Z  INFO elementx: Checking if backup exists on the server | SecureBackupController.swift:196 | spans: root
2026-04-21T14:47:50.210603Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > send{request_id="REQ-3" method=GET uri="https://matrix.mertis.kz/_matrix/client/v3/room_keys/version"}
2026-04-21T14:47:50.212987Z DEBUG matrix_sdk_crypto::machine: Initialising crypto store generation at 2 | crates/matrix-sdk-crypto/src/machine/mod.rs:2852 | spans: root
2026-04-21T14:47:50.222499Z  INFO elementx: AllRooms: Updating visible range: 0..<0 | RoomSummaryProvider.swift:166 | spans: root
2026-04-21T14:47:50.226160Z  INFO elementx: AlternateAllRooms: Updating visible range: 0..<0 | RoomSummaryProvider.swift:166 | spans: root
2026-04-21T14:47:50.226323Z  INFO elementx: StaticAllRooms: Updating visible range: 0..<0 | RoomSummaryProvider.swift:166 | spans: root
2026-04-21T14:47:50.230215Z  INFO elementx: Starting sync | ClientProxy.swift:442 | spans: root
2026-04-21T14:47:50.233078Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: send{request_id="REQ-4" method=GET uri="https://matrix.mertis.kz/_matrix/client/unstable/org.matrix.msc2965/auth_metadata"}
2026-04-21T14:47:50.242627Z  INFO elementx: Received sync service update: running | ClientProxy.swift:1106 | spans: root
2026-04-21T14:47:50.246863Z  INFO elementx: StaticAllRooms: Received state update: loaded(maximumNumberOfRooms: Optional(3)) | RoomSummaryProvider.swift:105 | spans: root
2026-04-21T14:47:50.247031Z  INFO elementx: AllRooms: Received state update: loaded(maximumNumberOfRooms: Optional(3)) | RoomSummaryProvider.swift:105 | spans: root
2026-04-21T14:47:50.247214Z  INFO elementx: AlternateAllRooms: Received state update: loaded(maximumNumberOfRooms: Optional(3)) | RoomSummaryProvider.swift:105 | spans: root
2026-04-21T14:47:50.248269Z  INFO matrix_sdk::sliding_sync: Marking all tracked users as dirty | crates/matrix-sdk/src/sliding_sync/mod.rs:479 | spans: root > next_sync_with_lock{store_generation=2} > sync_once{conn_id="encryption"}
2026-04-21T14:47:50.250495Z  INFO elementx: Session security state changed, verificationState: unverified, recoveryState: unknown | UserSession.swift:48 | spans: root
2026-04-21T14:47:50.254723Z DEBUG matrix_sdk::http_client: Got response | crates/matrix-sdk/src/http_client/mod.rs:214 | spans: root > send{request_id="REQ-1" method=GET uri="https://matrix.mertis.kz/_matrix/client/v3/room_keys/version" status=200 response_size="451B" request_duration=50.323625ms}
2026-04-21T14:47:50.258152Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: sync_once{conn_id="room-list" pos="554/s1042_6501_62_143_248_1_254_227_0_1_1_1" timeout=0} > send{request_id="REQ-5" method=POST uri="https://matrix.mertis.kz/_matrix/client/unstable/org.matrix.simplified_msc3575/sync" request_size="647B"}
2026-04-21T14:47:50.258656Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > next_sync_with_lock{store_generation=2} > sync_once{conn_id="encryption"  timeout=30000} > send{request_id="REQ-6" method=POST uri="https://matrix.mertis.kz/_matrix/client/unstable/org.matrix.simplified_msc3575/sync" request_size="106B"}
2026-04-21T14:47:50.259389Z  INFO elementx: Notification sound enabled: false | NotificationManager.swift:106 | spans: root
2026-04-21T14:47:50.259418Z  INFO elementx: Starting sync | ClientProxy.swift:442 | spans: root
2026-04-21T14:47:50.259622Z  INFO elementx: Transitioning from `restoringSession` to `signedIn` with event `createdUserSession` | AppCoordinatorStateMachine.swift:93 | spans: root
2026-04-21T14:47:50.261165Z DEBUG matrix_sdk_crypto::session_manager::sessions: Collected user/device pairs that are missing an Olm session missing_session_devices_by_user={} timed_out_devices_by_user={} | crates/matrix-sdk-crypto/src/session_manager/sessions.rs:285 | spans: root > next_sync_with_lock{store_generation=2} > sync_once{conn_id="encryption"  timeout=30000} > send_outgoing_requests > get_missing_sessions
2026-04-21T14:47:50.261730Z DEBUG matrix_sdk::http_client: Got response | crates/matrix-sdk/src/http_client/mod.rs:214 | spans: root > send{request_id="REQ-3" method=GET uri="https://matrix.mertis.kz/_matrix/client/v3/room_keys/version" status=200 response_size="451B" request_duration=51.072916ms}
