=== RUN_FILE_CREATED ts=2026-04-22T10:01:55Z ===
2026-04-22T10:02:05.766718Z  INFO elementx: [CALL-END-TRACE][CANARY-APP-LAUNCH] local_trace_id=app_launch room_id=n/a widget_id=n/a callkit_id=n/a | AppCoordinator.swift:162 | spans: root
=== RUN_START_DELIMITER ts=2026-04-22T10:02:18Z ===
2026-04-22T10:03:38.251891Z  INFO elementx: [CALL-END-TRACE][REMOTE-TERMINAL-FILTER] room_id=!jFGCYbgmpjrPGtgDqt:mertis.kz local_trace_id=unknown widget_id=unknown callkit_id=69B93AE4-9B3E-48CA-BACB-66230A0B23D0 decision=rejected reason=timestamp_before_started_at_window event_ts=2026-04-22T07:46:07Z threshold_ts=2026-04-22T10:03:33Z | ElementCallService.swift:1826 | spans: root
2026-04-22T10:03:38.252412Z  INFO elementx: [CALL-END-TRACE][REMOTE-TERMINAL-FILTER] room_id=!jFGCYbgmpjrPGtgDqt:mertis.kz local_trace_id=unknown widget_id=unknown callkit_id=69B93AE4-9B3E-48CA-BACB-66230A0B23D0 decision=rejected reason=timestamp_before_started_at_window event_ts=2026-04-22T06:33:04Z threshold_ts=2026-04-22T10:03:33Z | ElementCallService.swift:1826 | spans: root
2026-04-22T10:03:38.252906Z  INFO elementx: [CALL-END-TRACE][REMOTE-TERMINAL-FILTER] room_id=!jFGCYbgmpjrPGtgDqt:mertis.kz local_trace_id=unknown widget_id=unknown callkit_id=69B93AE4-9B3E-48CA-BACB-66230A0B23D0 decision=rejected reason=timestamp_before_started_at_window event_ts=2026-04-22T06:30:00Z threshold_ts=2026-04-22T10:03:33Z | ElementCallService.swift:1826 | spans: root
2026-04-22T10:03:38.253314Z  INFO elementx: [CALL-END-TRACE][REMOTE-TERMINAL-FILTER] room_id=!jFGCYbgmpjrPGtgDqt:mertis.kz local_trace_id=unknown widget_id=unknown callkit_id=69B93AE4-9B3E-48CA-BACB-66230A0B23D0 decision=rejected reason=timestamp_before_started_at_window event_ts=2026-04-22T06:24:08Z threshold_ts=2026-04-22T10:03:33Z | ElementCallService.swift:1826 | spans: root
2026-04-22T10:03:38.253719Z  INFO elementx: [CALL-END-TRACE][REMOTE-TERMINAL-FILTER] room_id=!jFGCYbgmpjrPGtgDqt:mertis.kz local_trace_id=unknown widget_id=unknown callkit_id=69B93AE4-9B3E-48CA-BACB-66230A0B23D0 decision=rejected reason=timestamp_before_started_at_window event_ts=2026-04-22T06:19:56Z threshold_ts=2026-04-22T10:03:33Z | ElementCallService.swift:1826 | spans: root
2026-04-22T10:03:41.843875Z  INFO elementx: [CALL-END-TRACE][SENDER-BRIDGE-ENTRY] method=ElementCallWidgetDriver.handleMessage room_id=!jFGCYbgmpjrPGtgDqt:mertis.kz widget_id=CA3D32EC-D1D2-4D6C-8BA1-AC6A8723E577 | ElementCallWidgetDriver.swift:180 | spans: root
2026-04-22T10:03:41.863339Z  INFO elementx: [CALL-END-TRACE][SENDER-BRIDGE-ENTRY] method=ElementCallWidgetDriver.handleMessage room_id=!jFGCYbgmpjrPGtgDqt:mertis.kz widget_id=CA3D32EC-D1D2-4D6C-8BA1-AC6A8723E577 | ElementCallWidgetDriver.swift:180 | spans: root
2026-04-22T10:03:41.906007Z  INFO elementx: [CALL-END-TRACE][SENDER-BRIDGE-ENTRY] method=ElementCallWidgetDriver.handleMessage room_id=!jFGCYbgmpjrPGtgDqt:mertis.kz widget_id=CA3D32EC-D1D2-4D6C-8BA1-AC6A8723E577 | ElementCallWidgetDriver.swift:180 | spans: root
2026-04-22T10:03:41.916788Z  INFO elementx: [CALL-END-TRACE][SENDER-BRIDGE-ENTRY] method=ElementCallWidgetDriver.handleMessage room_id=!jFGCYbgmpjrPGtgDqt:mertis.kz widget_id=CA3D32EC-D1D2-4D6C-8BA1-AC6A8723E577 | ElementCallWidgetDriver.swift:180 | spans: root
