2026-04-21T14:37:55.390305Z  INFO matrix_sdk_ffi::platform: Logging has been set up env_filter="panic=error,hyper=warn,matrix_sdk_ffi=info,matrix_sdk=info,matrix_sdk::client=trace,matrix_sdk_crypto=debug,matrix_sdk_crypto::olm::account=trace,matrix_sdk::oidc=trace,matrix_sdk::http_client=debug,matrix_sdk::sliding_sync=info,matrix_sdk_base::sliding_sync=info,matrix_sdk_ui::timeline=info,matrix_sdk::send_queue=info,matrix_sdk::event_cache=info,matrix_sdk::latest_events=info,matrix_sdk_base::event_cache=info,matrix_sdk_sqlite::event_cache_store=info,matrix_sdk_common::cross_process_lock=warn,matrix_sdk_common::deserialized_responses=info,matrix_sdk_base::store::ambiguity_map=warn,matrix_sdk_ui::notification_client=info,matrix_sdk_base::response_processors=debug,elementx=info" | bindings/matrix-sdk-ffi/src/platform/mod.rs:602
2026-04-21T14:37:55.390513Z  INFO elementx: SalemX 26.03.4 (1) | AppCoordinator.swift:91 | spans: root
2026-04-21T14:37:55.412233Z  INFO elementx: NavigationRootCoordinator(SalemX.SplashScreenCoordinator Set root: SalemX.SplashScreenCoordinator | NavigationRootCoordinator.swift:153 | spans: root
2026-04-21T14:37:55.422826Z ERROR elementx: Biometrics error: Error Domain=com.apple.LocalAuthentication Code=-7 "No identities are enrolled." UserInfo={NSDebugDescription=No identities are enrolled., NSLocalizedDescription=Биометрическая регистрация не выполнялась.} | AppLockService.swift:172 | spans: root
2026-04-21T14:37:55.489994Z  INFO elementx: Sentry configured (enabled: false) | AppCoordinator.swift:1026 | spans: root
2026-04-21T14:37:55.493323Z  INFO elementx: App setting 'enableNotifications' is 'true' | NotificationManager.swift:51 | spans: root
2026-04-21T14:37:55.495776Z  INFO elementx: [CALL-END-TRACE][CANARY-APP-LAUNCH] local_trace_id=app_launch room_id=n/a widget_id=n/a callkit_id=n/a | AppCoordinator.swift:162 | spans: root
2026-04-21T14:37:55.498069Z  INFO elementx: Register background app refresh with result: true | AppCoordinator.swift:1205 | spans: root
2026-04-21T14:37:55.619258Z  INFO elementx: Network reachability changed to reachable | NetworkMonitor.swift:30 | spans: root
2026-04-21T14:37:55.626967Z  INFO elementx: Transitioning from `initial` to `signedOut` with event `startWithAuthentication` | AppCoordinatorStateMachine.swift:93 | spans: root
2026-04-21T14:37:55.634449Z  INFO elementx: NavigationStackCoordinator(SalemX.AuthenticationStartScreenCoordinator) Set root: SalemX.AuthenticationStartScreenCoordinator | NavigationCoordinators.swift:686 | spans: root
